DEPTH,RHOB_F17-04,RHOB_F15-A-01
1950.4001,2.355127811,2.137527943
1950.5001,2.337567806,2.144327879
1950.6001,2.320967674,2.146285772
1950.7001,2.309929848,2.137458563
1950.8001,2.307253599,2.125317574
1950.9001,2.31217289,2.111369848
1951.0001,2.318709612,2.098235607
1951.1001,2.320245743,2.087880611
1951.2001,2.316824436,2.081523418
1951.3001,2.313100815,2.075943232
1951.4001,2.312096834,2.072989702
1951.5001,2.31437254,2.076446056
1951.6001,2.320348978,2.087885141
1951.7001,2.330201149,2.101004362
1951.8001,2.34348774,2.111017704
1951.9001,2.358271122,2.119997978
1952.0001,2.371195078,2.127646446
1952.1001,2.378548622,2.133858204
1952.2001,2.377802372,2.142256498
1952.3001,2.370319367,2.15133071
1952.4001,2.360821486,2.156396627
1952.5001,2.352668047,2.155188084
1952.6001,2.345305443,2.148930073
1952.7001,2.339838505,2.140576363
1952.8001,2.339604139,2.134083986
1952.9001,2.345091343,2.131320953
1953.0001,2.353046179,2.137137413
1953.1001,2.358873129,2.142678738
1953.2001,2.358315468,2.147167206
1953.3001,2.35002327,2.150521517
1953.4001,2.336701393,2.155429363
1953.5001,2.324054718,2.162285566
1953.6001,2.317939282,2.17044735
1953.7001,2.318710089,2.180091143
1953.8001,2.32136631,2.187105894
1953.9001,2.321865559,2.183843136
1954.0001,2.319568396,2.178382158
1954.1001,2.315897703,2.17399478
1954.2001,2.315200567,2.170964956
1954.3001,2.3212111,2.168572426
1954.4001,2.331904411,2.167323113
1954.5001,2.342753887,2.167642832
1954.6001,2.352230549,2.165974617
1954.7001,2.36123085,2.161958218
1954.8001,2.370047092,2.160348415
1954.9001,2.378192902,2.16026926
1955.0001,2.385299444,2.160977125
1955.1001,2.389622688,2.162820578
1955.2001,2.389152527,2.165330172
1955.3001,2.385643482,2.168423653
1955.4001,2.383201361,2.172574282
1955.5001,2.381416798,2.179978609
1955.6001,2.378509998,2.189769983
1955.7001,2.375991583,2.197005034
1955.8001,2.371493578,2.199732304
1955.9001,2.361700773,2.198058605
1956.0001,2.351038456,2.193694353
1956.1001,2.345566511,2.189273834
1956.2001,2.346804619,2.187114477
1956.3001,2.352584362,2.187214613
1956.4001,2.359835863,2.190050602
1956.5001,2.365616322,2.194584847
1956.6001,2.366970539,2.198069096
1956.7001,2.362159729,2.201059103
1956.8001,2.354573488,2.204545975
1956.9001,2.349194527,2.206890583
1957.0001,2.347352028,2.209050655
1957.1001,2.347955227,2.212100983
1957.2001,2.348745346,2.213755369
1957.3001,2.346749067,2.210732222
1957.4001,2.344588041,2.203070879
1957.5001,2.347224474,2.193910837
1957.6001,2.354325771,2.18537879
1957.7001,2.364066124,2.178048372
1957.8001,2.374136925,2.173101902
1957.9001,2.380397797,2.171348095
