DEPTH,DT,GR,ILD,NPHI,RHOB,WELL,,DEPTH,DT,GR,ILD,NPHI,RHOB,WELL
1942.5001,80.36679077,11.7311306,0.466806233,0.271729529,2.342932224,F17-04,,1942.5,90.11551666,50.00780869,0.466858476,0.30690667,2.215987682,F15-A-01
1942.6001,80.4715271,11.88516235,0.471930176,0.279177547,2.342662334,F17-04,,1942.6,89.61190796,49.3101387,0.467498899,0.311760604,2.219802618,F15-A-01
1942.7001,80.8196106,11.93379784,0.475038528,0.28024894,2.337035656,F17-04,,1942.7,89.26020813,47.52422714,0.468506396,0.31372118,2.223494291,F15-A-01
1942.8001,81.25991821,11.66660214,0.476373613,0.274298966,2.327216864,F17-04,,1942.8,89.23084259,45.47257996,0.46972701,0.312815666,2.226405382,F15-A-01
1942.9001,81.5512619,11.13146687,0.472529471,0.265962333,2.317922354,F17-04,,1942.9,89.52172852,44.43058014,0.46972701,0.309884757,2.22731328,F15-A-01
1943.0001,81.6049118,10.32596302,0.469020844,0.260590375,2.313081741,F17-04,,1943,89.93634796,44.11885071,0.468887359,0.306098163,2.226219416,F15-A-01
1943.4001,80.37760162,10.46828079,0.44532007,0.259449452,2.326155663,F17-04,,1943.4,91.33913422,50.23960877,0.45245558,0.30513534,2.210397959,F15-A-01
1943.5001,80.15283203,11.79769898,0.433833897,0.255888581,2.331464768,F17-04,,1943.5,91.20348358,50.8855896,0.443302661,0.305714637,2.210988522,F15-A-01
1943.6001,80.04039764,13.17410946,0.424222171,0.254321575,2.329932451,F17-04,,1943.6,91.01554871,50.8105011,0.4342857,0.303414226,2.213291645,F15-A-01
1943.7001,79.82310486,14.00482941,0.417175353,0.254383951,2.323449612,F17-04,,1943.7,90.98569489,50.37023544,0.425635427,0.301959813,2.215115547,F15-A-01
1943.8001,79.43123627,13.86843491,0.411865354,0.254719675,2.317456961,F17-04,,1943.8,91.19761658,50.06370926,0.421619058,0.307235777,2.213825226,F15-A-01
1943.9001,79.15396118,12.89339542,0.407714486,0.254855841,2.310797691,F17-04,,1943.9,91.4957962,49.92903137,0.419677377,0.315080583,2.208283186,F15-A-01
1944.0001,79.32226563,11.62125874,0.405152619,0.254068762,2.30438447,F17-04,,1944,91.5843277,49.39067841,0.420317799,0.319649786,2.200424433,F15-A-01
1944.1001,79.89673615,10.58261776,0.403685808,0.252489567,2.303761721,F17-04,,1944.1,91.37921143,48.31922913,0.422329813,0.319738716,2.194250584,F15-A-01
1944.2001,80.69628143,10.06636047,0.401444942,0.251865625,2.305695057,F17-04,,1944.2,91.04878235,47.98071289,0.424572617,0.318128467,2.190065861,F15-A-01
1944.3001,81.73483276,10.10674,0.397278279,0.25402084,2.301525354,F17-04,,1944.3,90.68974304,48.45610046,0.426815391,0.319111049,2.189706564,F15-A-01
1944.4001,82.97963715,10.45647335,0.391818255,0.259263754,2.289214373,F17-04,,1944.4,90.33867645,49.21895218,0.427763999,0.324265331,2.194390059,F15-A-01
1944.5001,84.04291534,10.72757149,0.385868877,0.266940326,2.273206949,F17-04,,1944.5,90.11994934,51.00743866,0.428768843,0.330499053,2.199698687,F15-A-01
1944.6001,84.4833374,10.76273918,0.37945798,0.275654286,2.259019136,F17-04,,1944.6,90.15128326,53.30349731,0.430690736,0.333704203,2.202523708,F15-A-01
1944.7001,84.36808777,10.7890892,0.36964035,0.282658994,2.250570297,F17-04,,1944.7,90.44325256,55.07032776,0.434561014,0.33495301,2.203885555,F15-A-01
1944.8001,84.18089294,11.09503079,0.359201849,0.284758925,2.249446154,F17-04,,1944.8,90.91981506,57.10992432,0.439500332,0.340699941,2.203540564,F15-A-01
1944.9001,84.24913788,11.62505341,0.350235045,0.280567199,2.253790617,F17-04,,1944.9,91.46443176,58.27320862,0.445908457,0.353675991,2.201781988,F15-A-01
1945.0001,84.54598999,12.03744316,0.345600754,0.271394193,2.259654999,F17-04,,1945,91.91034699,56.89448547,0.452316582,0.368442893,2.200078964,F15-A-01
1945.1001,84.8972702,12.0484972,0.343201339,0.260948449,2.266209602,F17-04,,1945.1,92.11104584,54.03211975,0.457941651,0.376167208,2.1989007,F15-A-01
1945.2001,85.19874573,11.55247021,0.34287858,0.251953989,2.276989222,F17-04,,1945.2,92.09223938,50.35646057,0.460184425,0.371422201,2.198876858,F15-A-01
